,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake,body_system
age,0.3266111548892723,0.1278627608417076,-0.3395285296574256,-0.2182379350023676,-0.1015600507971326,0.0265951054670443,-0.1035042980891257,0.166685758633056,-0.0908153082920284,-0.0223429690471418,Age_Gender_BMI
gender,0.2177212546811425,0.1509069199150055,-0.1065613250624227,0.0224733816166961,0.0241845588366355,-0.130352888613326,-0.0776111464694415,0.0982735520320661,0.2739039948720932,0.1322407194835337,Age_Gender_BMI
Lipids_POS_625.,0.3647225660217513,0.1797602382328511,-0.2797551188153662,-0.1318672707895086,,-0.0688141840849295,-0.099621149607902,0.0424192623383756,,-0.0443623865531037,blood_lipids
Lipids_POS_610.,0.3594882434817455,0.1977419223762491,-0.2873129470836144,-0.1150021259738516,,-0.0806838479795097,-0.112594874021957,,,-0.0568815162939589,blood_lipids
Lipids_POS_623.,0.3425327692523617,0.1767281786788655,-0.2886079057844479,-0.1316835755923823,,,-0.0770379643319114,,-0.0471355227792057,-0.0470041402325842,blood_lipids
Lipids_POS_878.,0.339476710866916,0.1779251239062696,-0.2709037288718131,-0.1253407285843135,,-0.0614819460984478,-0.0775364234314062,,-0.0710599415970644,-0.0786943143963978,blood_lipids
Lipids_NEG_664.,0.3347102461189987,0.1788577112969605,-0.2328784491258609,-0.0759222697127911,,-0.0795066015984324,-0.1156801445334689,0.0764010373954581,0.0728141764005719,,blood_lipids
Lipids_NEG_653.,0.3341300868002029,0.1831073064469259,-0.2511998728426348,-0.0986737282123576,,-0.0971236305674167,-0.1091693349980164,,,-0.0676549186658791,blood_lipids
bt__triglycerid,0.3321041691269241,0.1702615771034213,-0.2550110216631262,-0.1162241409308796,,,-0.0797534167216955,,-0.0601059427956184,-0.0905594102577136,blood_lipids
Lipids_POS_881.,0.3313470806421958,0.1640762756128375,-0.2636593818273746,-0.1055156658392284,,-0.0613491390555976,-0.0610450370960777,,-0.0665156156006057,-0.0668422880142133,blood_lipids
Lipids_NEG_690.,0.3299357979054385,0.168491810683335,-0.2251822951584564,-0.0756200050243734,,-0.0561585859646655,-0.092215492598289,0.0618935556595523,0.0566133249231269,,blood_lipids
Lipids_NEG_311.,-0.3316005464668887,-0.1757756529072128,0.2706804992771525,0.1307017162905161,,0.0690486768437838,0.0832873729767248,,,0.0589569210744925,blood_lipids
r_mv_aVL,0.3591707614252194,0.1836866462291252,-0.2792802757573965,-0.1536484803975027,,-0.0437858243324239,-0.0594758859966962,,,,cardiovascular
lying_blood_pressure_systolic,0.3525990848159274,0.2102307507705478,-0.1863932607530522,-0.0729145838458849,-0.023828041654072,-0.0526425175070525,-0.0992897208671075,0.0803446168154015,0.0624480215894141,,cardiovascular
sitting_blood_pressure_systolic,0.3470053891468571,0.2044525467811107,-0.1860859269604659,-0.0817671695696561,,-0.0436985096677373,-0.0895362225241639,0.0764374123706632,0.0565226723272558,,cardiovascular
sitting_blood_pressure_diastolic,0.3453814326975396,0.191756292081427,-0.1947985152657421,-0.081739536627154,-0.0292189264644306,-0.0327515442159189,-0.0578898816486109,0.0347028773806641,-0.0335314934000745,-0.0544526955309705,cardiovascular
standing_three_min_blood_pressure_systolic,0.3414139925744037,0.1992445625198189,-0.1878867367585481,-0.0713744681810429,,-0.0592481790045124,-0.0907025745252047,0.0809493165645369,0.0530292846340511,,cardiovascular
r_ankle_pressure,0.3329648141498473,0.1867983286568998,-0.2124630701652572,-0.1096073694979706,-0.032785303188338,-0.0238281238412049,-0.0739615093421419,0.0766526197310607,,,cardiovascular
lying_blood_pressure_diastolic,0.3327380710230034,0.1888422915889863,-0.1921879830807854,-0.081741188984432,-0.037650935429243,-0.0281757475833296,-0.057741403952329,0.0385104739724241,-0.0484503267510036,-0.0559410718487827,cardiovascular
l_ankle_pressure,0.3295646763823233,0.1830617034964957,-0.2039608478327619,-0.1061288579167937,-0.0304685882825847,,-0.0712687174126297,0.0776505133684533,,,cardiovascular
standing_three_min_blood_pressure_diastolic,0.3176665243021702,0.182051324209169,-0.1790312833378123,-0.0703468889114061,-0.0264689947408964,-0.0364768605785726,-0.0487204747487694,0.0360899466747155,-0.0313232646027225,-0.0722059757428048,cardiovascular
r_mv_I,0.3167106870199421,0.1598331980065198,-0.2318589434698101,-0.1191989647588291,,-0.0544441867462384,-0.0615081215515487,,,,cardiovascular
body_comp_leg_right_lean_mass,0.3020940861742299,0.2127997265112158,-0.2139073347955488,-0.0790457465077605,0.0672321794773307,-0.1378372512339399,-0.0785225710125889,0.0312252503809481,0.2372280888774703,0.1227706046167905,frailty
body_comp_leg_left_lean_mass,0.3005887723600367,0.2109395427713518,-0.2113463501076545,-0.0776778232213582,0.0668723317407228,-0.135677152499706,-0.0799020079064281,0.0275467388604171,0.2387019444281856,0.1248293446880862,frailty
body_comp_arm_left_lean_mass,0.2570037663594698,0.1848513507508066,-0.1481257065521579,,0.0668280539962727,-0.1220372075766452,-0.093567324605552,0.0393954253455742,0.2635826079779268,0.1474176188059962,frailty
body_comp_arm_right_lean_mass,0.2517963054266016,0.1820763940495692,-0.1497119480578631,,0.058395316657289,-0.1264527192485561,-0.095755237959411,0.045257746494181,0.2618002845829019,0.1427905301914371,frailty
hand_grip_right,0.1221833383382118,0.1011538854600556,-0.0226046403555537,0.0693290770288594,0.0425393663576295,-0.0961373700244244,-0.0388885885510615,0.048226203181747,0.2474599058040837,0.1312771372273474,frailty
hand_grip_left,0.1177515023641055,0.0999623014667378,,0.069263691887031,0.0566049802194048,-0.0995420873893574,-0.0366759738314231,0.0439188192476123,0.2539104322576738,0.1400941320143768,frailty
height,0.1175660756488022,0.0926637059684961,-0.0497472526693326,0.0322955301271321,,-0.1042990360204592,-0.05178116408282,0.0591525700631377,0.2327168659531479,0.1193832721803482,frailty
bt__rbc,0.2934309136888937,0.182050472681603,-0.2045191968912805,-0.034959222413084,,-0.082223361189261,-0.0689916122379412,0.0626028403529312,0.1311667919666677,0.0551524583772575,hematopoietic
bt__hct,0.2930640416192326,0.1587271619759773,-0.2396762289229193,-0.0525349081830787,,-0.0697999844319572,-0.065926282727953,0.0696953972049051,0.1592111277545094,0.0715923890928721,hematopoietic
bt__hemoglobin,0.2780988217519116,0.1541199881098284,-0.2437717151541234,-0.0560423822794585,,-0.0817044282027955,-0.0648742403468422,0.0588708055718435,0.1748788964536244,0.0717265109364727,hematopoietic
bt__ferritin,0.2370441288562265,0.1307778144410474,-0.2160717371275187,-0.0533209237725846,0.0397768215051843,-0.0567568976958634,-0.0395661475363639,0.0357878703995794,0.0842104957862913,,hematopoietic
bt__rdw,0.0340659543326812,0.0411361216128271,-0.0992613207726738,-0.0967408408656769,-0.0293245166178705,,-0.0234216811154199,0.0280098852931434,-0.0712109482378751,-0.0364372042842814,hematopoietic
bt__mchc,0.0287530846424931,0.0328383427864963,-0.0814310587346939,,,-0.0428576633617774,,,0.0689200993647689,,hematopoietic
bt__mch,-0.0627248875819806,-0.0523570193091124,-0.0343575640700959,-0.0276935655108578,,,,,0.0627734279068601,0.0332030906790847,hematopoietic
bt__mcv,-0.0879618197634273,-0.0793068913293355,,,-0.0311999468470486,0.04342816018725,0.0233094637576268,,,0.0331313492651313,hematopoietic
body_ribs_bmc,0.2691861001084499,0.1753659182210721,-0.1782923214274803,-0.0546012282927202,0.0367443029266493,-0.1130792071258651,-0.0672774372969683,,0.1716720543704798,0.0614870702215977,bone_density
body_ribs_area,0.2680477701782312,0.1731673774942472,-0.1816776711280555,-0.0591824349707733,,-0.0946788787421315,-0.0625278799565975,0.0388244994502945,0.1547047364644592,0.0560460974061619,bone_density
spine_l1_average_width,0.2417820207384068,0.1700462117990192,-0.1488587786107154,-0.0460524056275716,0.0367970218557587,-0.1138875382217072,-0.0791375550958902,0.0723715775058446,0.2263440144878293,0.1284401654450297,bone_density
body_trunk_area,0.2404805927909697,0.1687469602091212,-0.1606503543121105,-0.0481083353177139,0.0400729230350316,-0.1067356113217037,-0.0732923384129949,0.0412965240288362,0.2046511517984973,0.0913854257775601,bone_density
body_trunk_right_area,0.2372786331594999,0.1597618293963705,-0.1579399083804107,-0.0424194387923296,0.0449482619639409,-0.103553763051733,-0.0681866408205925,0.0331462435637402,0.1937080718978784,0.0810518626141311,bone_density
femur_troch_mean_bmc,0.2334838342515159,0.1495259891049902,-0.1450844365428593,-0.0380576065129101,0.0641028264376663,-0.1244680359085429,-0.0821720000895914,,0.2402092970537561,0.1344515857907202,bone_density
body_ribs_bmd,0.2314206403937174,0.1505725647496363,-0.1493601602285104,-0.0431986935962783,0.0552415279636201,-0.1148695981682921,-0.0595731487831673,,0.1634723074535133,0.0563151420614387,bone_density
body_trunk_right_bmc,0.2307154380181498,0.1580868527975185,-0.1442012463336271,-0.0439838819096511,0.0642906218356368,-0.1190865081938848,-0.0677956816504053,,0.2014391999622263,0.0883336264486817,bone_density
femur_right_troch_bmc,0.2300448291976954,0.1410956142963955,-0.1348939673867542,-0.031915972880926,0.0697976655787473,-0.1227644415473522,-0.0771888724218437,0.0250540341639482,0.2365117644310929,0.1293063960059943,bone_density
spine_l1_l2_average_width,0.2295621713236598,0.1604234894383003,-0.1354697368639826,-0.0391965280872323,0.0395705125831191,-0.113758604131015,-0.0773264324217624,0.0692517133525258,0.2262423864374069,0.1328113336868646,bone_density
bt__hba1c,0.2590958829678479,0.1462037399949564,-0.2574966393319064,-0.1820151277539811,-0.0493161250586501,,-0.0603713863398644,,,-0.0573900423725392,glycemic_status
bt__glucose,0.2085135035546679,0.1535760381534003,-0.2181838832609596,-0.1352688188276375,,,-0.0558857284978929,,,-0.0625420336181697,glycemic_status
MODD,0.122664207249558,0.1126926392514331,-0.0837123456803469,-0.042209071203259,-0.0442442680629249,-0.0575372578476271,-0.0879955560774294,,0.0361858910628558,,glycemic_status
Conga,0.1203292928589006,0.1069533018034497,-0.0758736025623822,-0.0406084332301347,-0.0530226811731137,-0.0405389001557329,-0.0824604179666281,,,,glycemic_status
SdBDM,0.1202934727032052,0.1114364590477848,-0.0823475074510661,-0.0505163045329618,-0.0500201182302856,-0.0421023155684445,-0.0780738817864363,,,,glycemic_status
SdB,0.0973268452985668,0.1020456948901093,-0.0706907096188692,-0.041476697104014,-0.0474730844669644,-0.0371422580423153,-0.0710788874616542,,,,glycemic_status
grade_hyper,0.0929525601097364,0.1261399916185353,-0.1464530108683739,-0.1106565147760589,-0.0710754823261799,,-0.0700287877490286,,,,glycemic_status
j_index,0.0884891535062381,0.147845228758478,-0.1996885616594498,-0.1596176226928853,-0.042788506995326,,-0.0868899194193743,,,,glycemic_status
hbgi,0.0875412009456138,0.1357923263823043,-0.1642372630935314,-0.1295080336817443,-0.0642576080525,,-0.0781647336620846,,,,glycemic_status
above_140,0.0854289033384674,0.1296732760167826,-0.1535913822378899,-0.1163200769833725,-0.0733868557260263,,-0.0724633897261878,,,,glycemic_status
bt__alt_gpt,0.2471210643671368,0.1722334317682861,-0.18972827849722,-0.0733687446956416,,-0.0914842224451286,-0.0667396338156071,,0.071707498667015,,liver
liver_attenuation,0.189150477021201,0.1184589507977104,-0.1209272781166026,-0.0655823114148258,,,-0.0297948647905566,,-0.0452082002707386,-0.0521049406617299,liver
bt__alkaline_phosphatase,0.1814382403443953,0.0635090971406398,-0.1567757427849571,-0.0623756931246259,-0.0402239553224439,,-0.0563454846846494,,-0.0554471385188407,,liver
bt__ast_got,0.1317742811158969,0.0566191829531484,-0.0880464341803201,,,-0.0699132327294375,-0.0341589255524947,0.0614893813916639,0.0913285095590991,,liver
liver_viscosity,0.1084464112977182,0.0617065978867648,-0.0633335749323363,-0.0261506760192321,,,,,0.0526995798947607,0.0371058537438298,liver
bt__protein_total,0.0693541986891563,0.0389547209250579,,,,-0.052117883450289,,-0.0413523993066971,,-0.0518427741462359,liver
bt__platelets,0.0502652494654747,,-0.0280105800957839,-0.0303431307169085,-0.0298683304445109,,-0.0483383083073428,-0.038994473057946,-0.1002374159102876,-0.0905444522349405,liver
bt__albumin,0.0414037009796028,,,0.0447968315094973,0.0478250161732926,,,,0.0912524424606137,,liver
liver_elasticity,0.0247661262208918,0.0487414673066968,,,,-0.031570443346939,,0.0466934837382595,0.1371162908791972,0.1084550068664313,liver
liver_sound_speed,-0.2139733992758394,-0.1305885787375598,0.2004824277239474,0.1416551971533818,,,,0.0371466286044694,0.1281651511281352,0.0831796224084106,liver
snoring_yes,0.2443341913278013,0.2095017183634911,-0.1435855797939518,-0.1039223966375083,,-0.0393976176183358,,,,,lifestyle
hours_watching_tv,0.12558489296958,0.0522192096164674,-0.1135897259645328,-0.0595815156480785,-0.0410018876516591,,-0.0611099404436948,0.0373052274076857,-0.0600191052537044,,lifestyle
tobacco_past_how_often_I smoked most or all days,0.0838116492654019,,-0.0799803353945793,-0.0606846043013586,,,-0.0530724368058525,,,,lifestyle
hours_using_computer_not_work,0.0692641235070385,0.0649812055807579,-0.0631898163081986,-0.0470443578220564,-0.038594929671302,,,,,,lifestyle
falling_asleep_during_daytime_From time to time,0.0609671436164234,,-0.0388792340837149,-0.0347896194589973,0.0455449589119034,-0.0451977257123371,,,,,lifestyle
physical_activity_maderate_days_a_week,-0.0603613505990908,-0.061392022382054,0.0696122736202747,,,,,,0.1050239427056329,0.0675796476135635,lifestyle
nap_during_day_Not or rarely,-0.0604162940237843,-0.0357209090304842,0.0558630382476391,,0.0367919502811769,,0.0552066118595145,-0.038484647890505,,,lifestyle
high_exercise_duration_Between an hour and an hour and a half,-0.0616708769267018,,,,,,,,,,lifestyle
usual_walking_pace_Fast,-0.0708528217842259,-0.0479809928450422,0.086430255935405,0.0799188478416395,,-0.0382786568274558,,,0.0724863306011015,0.0482491545440465,lifestyle
vigorous_activity_minutes,-0.0855906286960158,-0.0588631475822764,0.0835655177454591,0.0497267391879,,-0.0373903157448015,-0.0464282765912136,,0.1679874847369404,0.0878634838206543,lifestyle
bt__creatinine,0.1922229959578291,0.1020254461801626,-0.1245957700771289,,,-0.0795800030767675,-0.0402585671277317,0.0963857128805189,0.2157122040383034,0.0990208297524401,renal_function
bt__urea,0.1322714792671087,0.0697805873889002,-0.1265265040283029,,,-0.062007963113189,-0.071286622928601,0.0680095184603299,0.079264348275225,,renal_function
bt__potassium,0.1051649896088225,0.0391671078571139,-0.0846633336968817,-0.0427401461171418,,,-0.0513546271561516,,,,renal_function
bt__sodium,0.0968330961001718,0.0535332827672279,-0.0839388500014911,-0.0400688600561521,,,,,0.0364943826456111,,renal_function
bt__monocytes_abs,0.1537873540556068,0.0953120865270511,-0.116554205472644,-0.055172613086006,,-0.0276617930795326,-0.0351480962904074,,0.0524678824077369,,immune_system
bt__wbc,0.153575268594641,0.1005192154971787,-0.1285661450473782,-0.0763228487544454,,-0.041198516469433,-0.0385889617827265,,,,immune_system
bt__lymphocytes_abs,0.1367082412040892,0.0650859482503321,-0.0864252689084167,-0.035224459142282,,,,,-0.0277227595103069,-0.0391919345752188,immune_system
bt__neutrophils_abs,0.1073896154892566,0.0852431022101593,-0.1189653414095276,-0.0812288971091869,,-0.0415130480990131,-0.0368114910029572,,,,immune_system
bt__basophils_abs,0.0876141073942637,,,,,,,,,,immune_system
bt__eosinophils_abs,0.0798808631388703,0.0433135708787552,-0.0651476945948476,-0.037495992840699,,,-0.0347654851160904,,,,immune_system
bt__monocytes_%,0.0464607286258429,,,,,,,,0.0774123028684162,0.0354826463487386,immune_system
bt__basophils_%,0.0380892837328751,,0.0948257018284404,0.0839389572691347,,,,,0.0311662004047919,,immune_system
bt__eosinophils_%,0.0293731894973505,,,,,,,,0.0324529591490347,,immune_system
bt__neutrophils_%,-0.028055631497302,,-0.033537853248448,-0.0449761344944381,,-0.0348132785114628,,,,,immune_system
high_irritable_state,0.0898478508423693,,,,,-0.076261246737837,,,,,mental
risks_taker,0.0556921729753805,0.0402710235265736,,,,,-0.0384735827401108,,0.0500285375887523,,mental
depressed_hopeless_fortnight,-0.0411525421351189,,,,,0.0439473348406054,,,,,mental
miserable_no_reason,-0.0413690813842461,,,,,0.0406626777422503,,,-0.0453897509503844,,mental
troubled_by_guilt,-0.0474394776984318,,0.0346526449929861,,,,,,,,mental
tired_or_little_energy_fortnight,-0.0509560750056825,,0.0347094449746306,,,0.0579265918382963,,,-0.0516556023531353,-0.0493434935534339,mental
little_interest_or_pleasure_fortnight,-0.0693456874999705,,0.0411252673858313,,,,,,,,mental
fidgety_or_restless_fortnight,-0.0807349325596418,-0.0490846682545884,0.0460708870200617,,,,,,,,mental
rds_score,-0.0852275787600462,-0.0462707425399876,0.057975737179393,,,0.042065247876396,,,,,mental
health_satisfaction,-0.1484656202124612,-0.0902226712790312,0.1229609008401327,0.0919195750882607,,,0.0356011209347308,,0.0804447933738571,0.0533491261110939,mental
HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs,0.1315487629666097,0.0654268901226749,-0.0814127004480021,-0.043965834211201,-0.0318274525944494,,-0.0494758199848322,0.0372107927044694,,,medications
ACEinhibitorsplain,0.0656493427492083,,-0.0518317747136019,,,,,,,,medications
AngiotensinIIreceptorblockersARBsandcalciumchannelblockers,0.0652038976599296,,-0.0481526675668553,,,,,,,,medications
Betablockingagentsselective,0.0640567523657629,,-0.0353182911667493,,,,,,,,medications
Plateletaggregationinhibitorsexclheparin,0.0636106349687898,,-0.0460587178174261,,,,,,,,medications
AngiotensinIIreceptorblockersARBsplain,0.0588301804211261,0.0505345392074321,-0.0624086380061973,-0.041469821518278,,,-0.035226206459977,,,,medications
Dihydropyridinederivativeselectivecalciumchannelblockerswithmainlyvasculareffects,0.0563418732441819,0.0334204469343469,-0.0442372012272301,,,,,,,,medications
Preparationsinhibitinguricacidproduction,0.0439479303040617,0.0361707766245213,,,,,,,,,medications
ProtonpumpinhibitorsforpepticulcerandGORD,0.0389381750754485,,,,,,-0.0393718893103694,,,,medications
Progestogensandestrogenssystemiccontraceptivessequentialpreparations,-0.043509243551993,,0.042849974547395,,,,,,,,medications
fBin__357,0.0982787776486373,0.0425712472033013,-0.0578601869274595,,,,-0.0369832140942805,,,,MBfamily2
fBin__323,-0.0985699762792115,-0.0459950537284563,0.0745946443208637,0.0367911780356353,,,0.0421141301146149,,,,MBfamily2
fBin__530,-0.0994427020838756,-0.0797070831609885,0.0719744778076029,0.0456299931102719,,,0.0439328501729912,,,,MBfamily2
fBin__526,-0.0998698643164906,-0.0865043600514495,0.0591777532420447,0.0313442084293362,-0.0319027253974206,0.0512051615943752,0.0731844920360599,,-0.0757611908696253,,MBfamily2
fBin__94,-0.1027921201089336,-0.0648024054038426,0.0684201793972136,0.04386669999166,,,0.0724870128057956,,,,MBfamily2
fBin__529,-0.1082309060993928,-0.0732081781073196,0.0504652658121801,0.03501116363198,-0.0337608402955601,0.0354843124921265,0.0556070790741104,,-0.0444680158421866,,MBfamily2
fBin__457,-0.1088023335391634,-0.0702436606552263,0.0693260041720559,0.056571718903434,,,0.0540375387598524,,,,MBfamily2
fBin__504,-0.119798928335148,-0.07595420184972,0.0763747147769887,0.0459785261779955,,0.0335006168111706,0.0681720567459241,,,,MBfamily2
fBin__531,-0.129937974508414,-0.0837165041976457,0.092947633167976,0.058410824592958,,,0.0656210325103777,,,,MBfamily2
fBin__541,-0.1301235645842048,-0.0727926770355903,0.0743158640550545,0.0421450826167905,,0.0328133418678505,0.0592414872112535,,,,MBfamily2
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),0.1295056342072906,0.0934980509881429,-0.0946151860932488,-0.0673923538763721,,-0.0318176819785522,-0.0460897107460609,,,,MBpathways
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,0.126410568045699,0.1048500708776189,-0.0993942471829356,-0.0636759180824513,,-0.0449581527105958,-0.0504964794225666,,,,MBpathways
UNINTEGRATED,0.1174367587336453,0.0884319912932532,-0.0775872252446036,-0.0591647694003879,,,-0.0439393959895877,,,,MBpathways
"PWY-7237: myo-, chiro- and scyllo-inositol degradation",0.103208140142188,0.0989224466331967,-0.0765073365561973,-0.0484089019574143,0.0343124083153805,-0.0497979661775943,-0.0469964227603773,,0.0706619169069199,0.0341428427738519,MBpathways
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,0.1004679411370678,0.0820729026453489,-0.0717354364667069,-0.0453770753523346,,-0.0356664464958982,-0.0321208454488732,,,,MBpathways
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),0.0905584008826697,0.0701157847840705,-0.0662553460958524,-0.0335343417278511,,,,,,,MBpathways
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),0.0905574302023548,0.0701155848590458,-0.0662537411972953,-0.0335332797866527,,,,,,,MBpathways
PWY0-1296: purine ribonucleosides degradation,-0.0952257423843059,-0.0691864893125798,0.0828777685445605,0.0578315703454735,-0.0278859921408956,0.0335722110188822,0.0426479723283403,,,,MBpathways
UNMAPPED,-0.116787106188197,-0.0880970554101284,0.0783633828677359,0.0606485858614683,,,0.043078606194106,,,,MBpathways
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",-0.1168936784339749,-0.0762930995072877,0.0700138285754752,0.0335027868895071,,0.0428568038446371,0.0737819349520199,,-0.0380151192007627,,MBpathways
Peach intake,0.0932990963860197,,,,,,,0.0345895527473036,,-0.0686713837545012,diet
Watermelon intake,0.0821914201356068,-0.054481984922754,0.0348690642626817,0.0735570905074751,,-0.0440037477598145,,0.0346867364807572,,-0.0821993612863006,diet
Chicken legs intake,0.0673752995872247,0.044071373968945,-0.0645380549853337,,,,,,,,diet
Pasta intake,-0.0648661047263931,,0.083390449244779,0.0433646337047474,,,,,,,diet
Arugula intake,-0.0658438733381346,-0.0510393746848847,,,,0.0351509616069989,,,,,diet
Strawberry intake,-0.068312787481946,,,,,0.0363946050848939,,-0.0458397667170437,,0.0292657088835555,diet
Tomato sauce intake,-0.0713236777448315,,0.0703839455456387,0.0416156655050344,,0.0387404503824712,,,,,diet
Tofu intake,-0.0766329733991104,-0.0688227893489588,0.0830933839373138,0.0396690035598611,,0.0352627458517096,,,0.0321773972569801,0.0305720239826857,diet
Chocolate intake,-0.0806291108426126,,0.0839695494647865,0.031306950335394,,,,,,,diet
Avocado intake,-0.0885540141726212,,,,,0.0564200007603003,,,,0.0392979167744919,diet
